ifd0_make#ifd0_model#ifds_FocalLength#Count
1#1##40
1#1#5 mm#1385
4#407#108 mm#1
4#407#115 mm#1
4#407#120 mm#1
4#407#124 mm#1
4#407#132 mm#1
4#407#136 mm#1
4#407#14 mm#61
4#407#140 mm#4
4#407#15 mm#2
4#407#162 mm#1
4#407#17 mm#1
4#407#180 mm#2
4#407#184 mm#1
4#407#189 mm#1
4#407#19 mm#1
4#407#20 mm#21
4#407#200 mm#7
4#407#23 mm#2
4#407#24 mm#2
4#407#25 mm#22
4#407#29 mm#3
4#407#33 mm#2
4#407#34 mm#3
4#407#35 mm#5
4#407#37 mm#3
4#407#39 mm#2
4#407#41 mm#2
4#407#42 mm#15
4#407#45 mm#33
4#407#48 mm#1
4#407#60 mm#14
4#407#68 mm#1
4#407#78 mm#1
4#407#91 mm#1
4#407#97 mm#1
4#407#99 mm#1
4#428#10 mm#1
4#428#103 mm#1
4#428#108 mm#5
4#428#11 mm#3
4#428#12 mm#4
4#428#13 mm#1
4#428#14 mm#1
4#428#16 mm#2
4#428#17 mm#2
4#428#18 mm#1
4#428#19 mm#2
4#428#20 mm#1
4#428#21 mm#1
4#428#23 mm#1
4#428#24 mm#1
4#428#26 mm#2
4#428#27 mm#1
4#428#29 mm#1
4#428#35 mm#1
4#428#44 mm#1
4#428#45 mm#1
4#428#46 mm#2
4#428#47 mm#1
4#428#49 mm#1
4#428#5 mm#34
4#428#52 mm#1
4#428#56 mm#2
4#428#57 mm#1
4#428#58 mm#1
4#428#6 mm#3
4#428#65 mm#1
4#428#68 mm#3
4#428#69 mm#1
4#428#7 mm#1
4#428#78 mm#1
4#428#8 mm#7
4#428#84 mm#2
4#428#87 mm#1
4#428#9 mm#3
4#428#94 mm#1
4#429#10 mm#31
4#429#11 mm#30
4#429#13 mm#30
4#429#15 mm#40
4#429#16 mm#33
4#429#17 mm#32
4#429#18 mm#20
4#429#19 mm#21
4#429#21 mm#29
4#429#23 mm#19
4#429#24 mm#15
4#429#26 mm#13
4#429#28 mm#25
4#429#30 mm#13
4#429#33 mm#37
4#429#37 mm#259
4#429#6 mm#432
4#429#7 mm#15
4#429#8 mm#24
4#429#9 mm#31
4#453##2
4#453#10 mm#5
4#453#11 mm#7
4#453#13 mm#10
4#453#15 mm#6
4#453#16 mm#7
4#453#17 mm#5
4#453#18 mm#5
4#453#19 mm#9
4#453#21 mm#1
4#453#23 mm#5
4#453#24 mm#3
4#453#26 mm#12
4#453#28 mm#5
4#453#29 mm#2
4#453#33 mm#3
4#453#37 mm#46
4#453#6 mm#209
4#453#7 mm#12
4#453#8 mm#8
4#453#9 mm#8
4#454#10 mm#43
4#454#11 mm#28
4#454#12 mm#66
4#454#13 mm#35
4#454#14 mm#31
4#454#16 mm#26
4#454#17 mm#20
4#454#18 mm#16
4#454#19 mm#14
4#454#20 mm#27
4#454#22 mm#19
4#454#24 mm#18
4#454#25 mm#15
4#454#26 mm#11
4#454#28 mm#24
4#454#30 mm#20
4#454#34 mm#13
4#454#38 mm#18
4#454#41 mm#4
4#454#43 mm#6
4#454#46 mm#15
4#454#49 mm#9
4#454#5 mm#736
4#454#50 mm#9
4#454#52 mm#115
4#454#6 mm#58
4#454#7 mm#77
4#454#8 mm#30
4#454#9 mm#46
4#482##19
4#482#10 mm#41
4#482#11 mm#45
4#482#12 mm#36
4#482#13 mm#387
4#482#4 mm#1
4#482#5 mm#2446
4#482#6 mm#104
4#482#7 mm#99
4#482#8 mm#61
4#482#9 mm#100
4#504#10 mm#1
4#504#11 mm#1
4#504#13 mm#1
4#504#23 mm#2
4#504#5 mm#191
4#504#7 mm#1
4#504#9 mm#1
4#506#10 mm#1
4#506#11 mm#1
4#506#13 mm#1
4#506#15 mm#1
4#506#150 mm#1
4#506#16 mm#1
4#506#214 mm#1
4#506#215 mm#1
4#506#26 mm#1
4#506#4 mm#38
4#506#59 mm#1
4#506#9 mm#1
4#506#96 mm#1
4#507#112 mm#2
4#507#14 mm#41
4#507#15 mm#3
4#507#150 mm#1
4#507#16 mm#3
4#507#17 mm#5
4#507#175 mm#2
4#507#19 mm#1
4#507#20 mm#5
4#507#21 mm#1
4#507#22 mm#2
4#507#24 mm#1
4#507#25 mm#3
4#507#27 mm#3
4#507#28 mm#1
4#507#29 mm#1
4#507#31 mm#2
4#507#32 mm#1
4#507#36 mm#1
4#507#38 mm#1
4#507#42 mm#6
4#507#45 mm#4
4#507#57 mm#1
4#507#89 mm#1
4#507#91 mm#1
4#507#93 mm#1
4#507#96 mm#1
4#508#4 mm#6
4#508#5 mm#2
4#516##414
4#516#10 mm#49
4#516#11 mm#59
4#516#12 mm#44
4#516#13 mm#49
4#516#14 mm#22
4#516#15 mm#30
4#516#16 mm#27
4#516#17 mm#23
4#516#18 mm#20
4#516#19 mm#17
4#516#20 mm#16
4#516#21 mm#11
4#516#22 mm#19
4#516#24 mm#27
4#516#25 mm#8
4#516#26 mm#11
4#516#27 mm#9
4#516#28 mm#4
4#516#29 mm#14
4#516#30 mm#31
4#516#31 mm#5
4#516#32 mm#10
4#516#33 mm#6
4#516#34 mm#6
