ifd0_make#ifd0_model#ifd0_Orientation#Count
1#1##1357
1#1#0#31
4#1295#6 = Row 0: right, Col 0: top#18
4#1295#8 = Row 0: left, Col 0: botto#42
4#1296##1
4#1296#1 = Row 0: top, Col 0: left#817
4#1296#6 = Row 0: right, Col 0: top#55
4#1296#8 = Row 0: left, Col 0: botto#12
4#1308##3
4#1308#1 = Row 0: top, Col 0: left#1380
4#1308#6 = Row 0: right, Col 0: top#6
4#1308#8 = Row 0: left, Col 0: botto#24
4#1369#0#9
4#1423##3
4#1423#1 = Row 0: top, Col 0: left#68
4#1424##27
4#1424#1 = Row 0: top, Col 0: left#1194
4#1424#6 = Row 0: right, Col 0: top#33
4#1424#8 = Row 0: left, Col 0: botto#18
4#1426#1 = Row 0: top, Col 0: left#536
4#1426#3 = Row 0: bottom, Col 0: rig#2
4#1426#6 = Row 0: right, Col 0: top#8
4#1426#8 = Row 0: left, Col 0: botto#2
4#1437#1 = Row 0: top, Col 0: left#230
4#1437#6 = Row 0: right, Col 0: top#1
4#1441##2
4#1441#1 = Row 0: top, Col 0: left#312
4#1441#6 = Row 0: right, Col 0: top#10
4#1441#8 = Row 0: left, Col 0: botto#1
4#1450##7
4#1450#1 = Row 0: top, Col 0: left#284
4#1450#6 = Row 0: right, Col 0: top#3
4#1450#8 = Row 0: left, Col 0: botto#5
4#1457#1 = Row 0: top, Col 0: left#8
4#1467##4
4#1467#1 = Row 0: top, Col 0: left#529
4#1467#6 = Row 0: right, Col 0: top#44
4#1467#8 = Row 0: left, Col 0: botto#5
4#1470##1
4#1470#1 = Row 0: top, Col 0: left#132
4#1470#6 = Row 0: right, Col 0: top#27
4#1470#8 = Row 0: left, Col 0: botto#10
4#1495#1 = Row 0: top, Col 0: left#1064
4#1495#6 = Row 0: right, Col 0: top#10
4#1495#8 = Row 0: left, Col 0: botto#74
4#1499#1 = Row 0: top, Col 0: left#30
4#1499#6 = Row 0: right, Col 0: top#4
4#1526#1 = Row 0: top, Col 0: left#7
4#1553#1 = Row 0: top, Col 0: left#317
4#1553#6 = Row 0: right, Col 0: top#9
4#1556#1 = Row 0: top, Col 0: left#233
