ifds_FocalPlaneXResolution ,Count
7802/1, 1
7812500/243, 3
7812500/244, 76
7812500/291, 13
7812500/293, 1
784313/244, 1
7857143/293, 1
7864/1, 1
7873200/212, 1
7882/1, 1
78936570/10000, 1
792000/149, 7
7934/1, 1
797959/164, 5
7985/1, 2
800000/103, 2
8011/1, 1
8025600/241, 5
8025600/292, 2
8063/1, 2
8065599/210, 1
8065599/224, 2
8065599/280, 52
8065600/224, 6
8074080/283, 4
8075075/225, 1
8075078/283, 1
8094000/241, 4
8094000/292, 1
810000/283, 1
8105/1, 1
811428571/100000, 4
8160000/244, 5
8160000/291, 1
8169/1, 2
818926/23, 2
819199/208, 7
8192000/194, 1
8192000/225, 13
8192000/284, 9
8192000/286, 1
82017776/3998072, 1
82030600/3998072, 4
82042888/3998072, 3
82055176/3998072, 4
822/1, 8
8262000/225, 6
8262000/286, 1
8317440/226, 11
8317440/241, 62
8317440/287, 9
8317440/292, 28
832/1, 14
8323200/225, 30
8323200/286, 6
833/1, 2
835/1, 2
8366/1, 1
8366296/284, 1
837/1, 11
8405/1, 3
8448000/169, 1
847/1, 4
848000/156, 6
8496/1, 2
8548/1, 1
8638/1, 2
87242264/3998072, 2
87269384/3998072, 2
87281672/3998072, 4
874014/100, 1
880000/225, 1
886784/299, 1
8888889/293, 1
890137/25, 1
893/1, 5
8942400/292, 4
8943/1, 9
8967/1, 6
900740/241, 3
900740/292, 2
908799/280, 1
908800/188, 1
9088000/225, 3
9088000/241, 22
9088000/287, 4
9088000/292, 5
9090/1, 1
9109/1, 20
9112500/243, 2
9148/1, 2
921600/213, 1
9216000/168, 1
9216000/169, 1
9216000/213, 1
9216000/224, 3
9216000/225, 20
9216000/284, 5
924/1, 17
9281/1, 2
929132/100, 1
9331200/229, 2
9332/1, 10
9345803/242, 4
9380/1, 1
940816/100, 2
9497/1, 1
950468/100, 1
9522000/292, 18
9531077/225, 6
960/1937, 1
960000/132, 2
960000/155, 47
960000/156, 1
960000/224, 3
960000/94, 1
9600000/241, 2
9600000/244, 1
961675264/131072, 77
972000/168, 1
972817/314, 2
97379/17, 161
9747000/181, 1
979200/169, 1
9792000/182, 1
9813/1, 1
982/1, 1
9821429/293, 1
983039/156, 2
983040/224, 1
9839/1, 5
984615384/100000, 1
986536/100, 1
987654/244, 1
988/1, 6
