ifdg_GPSLatitude ,Count
1 deg 17 55.220, 1
1 deg 17 55.230, 2
1 deg 17 55.559, 1
1 deg 17 55.800, 14
1 deg 17 55.990, 1
1 deg 17 56.250, 1
1 deg 17 56.400, 2
1 deg 17 56.440, 1
1 deg 17 56.800, 1
1 deg 17 57.000, 1
1 deg 17 57.600, 2
1 deg 17 58.170, 4
1 deg 17 58.310, 1
1 deg 17 58.800, 1
1 deg 17 59.000, 3
1 deg 17 59.400, 1
1 deg 17 59.710, 1
1 deg 17 59.720, 1
1 deg 17 6.000, 1
1 deg 17 6.430, 1
1 deg 17 6.600, 1
1 deg 17 6.710, 2
1 deg 17 6.780, 1
1 deg 17 6.790, 1
1 deg 17 6.820, 1
1 deg 17 7.200, 1
1 deg 17 7.800, 4
1 deg 17 8.400, 7
1 deg 17 8.960, 1
1 deg 17 9.000, 1
1 deg 17 9.630, 4
1 deg 18 0.191, 2
1 deg 18 1.200, 1
1 deg 18 1.800, 1
1 deg 18 10.079, 1
1 deg 18 10.200, 1
1 deg 18 10.380, 1
1 deg 18 10.600, 1
1 deg 18 10.930, 1
1 deg 18 11.865, 4
1 deg 18 12.000, 2
1 deg 18 12.120, 1
1 deg 18 12.380, 1
1 deg 18 13.340, 6
1 deg 18 14.000, 1
1 deg 18 14.150, 1
1 deg 18 14.810, 1
1 deg 18 15.610, 1
1 deg 18 16.800, 1
1 deg 18 17.156, 2
1 deg 18 17.500, 1
1 deg 18 17.863, 2
1 deg 18 17.966, 1
1 deg 18 18.240, 1
1 deg 18 18.291, 1
1 deg 18 18.370, 1
1 deg 18 18.600, 3
1 deg 18 19.200, 2
1 deg 18 19.600, 1
1 deg 18 19.610, 1
1 deg 18 19.760, 1
1 deg 18 2.400, 2
1 deg 18 20.400, 1
1 deg 18 20.429, 1
1 deg 18 21.020, 1
1 deg 18 21.920, 1
1 deg 18 22.200, 1
1 deg 18 22.400, 1
1 deg 18 22.490, 1
1 deg 18 22.570, 1
1 deg 18 22.600, 1
1 deg 18 22.770, 1
1 deg 18 22.800, 2
1 deg 18 23.010, 1
1 deg 18 23.180, 1
1 deg 18 23.210, 1
1 deg 18 24.614, 1
1 deg 18 24.670, 1
1 deg 18 24.758, 2
1 deg 18 24.910, 1
1 deg 18 25.080, 1
1 deg 18 25.100, 1
1 deg 18 26.046, 1
1 deg 18 26.400, 1
1 deg 18 27.220, 1
1 deg 18 27.600, 1
1 deg 18 28.800, 2
1 deg 18 29.000, 1
1 deg 18 3.000, 2
1 deg 18 3.300, 2
1 deg 18 3.375, 1
1 deg 18 3.600, 4
1 deg 18 30.000, 1
1 deg 18 36.700, 4
1 deg 18 37.000, 5
1 deg 18 37.800, 1
1 deg 18 39.200, 4
1 deg 18 39.320, 3
1 deg 18 4.070, 1
1 deg 18 4.120, 2
1 deg 18 4.170, 1
1 deg 18 4.200, 3
1 deg 18 40.130, 2
1 deg 18 42.290, 1
1 deg 18 42.310, 1
1 deg 18 42.620, 1
1 deg 18 42.880, 1
1 deg 18 43.010, 1
1 deg 18 43.110, 1
1 deg 18 43.240, 1
1 deg 18 43.300, 1
1 deg 18 43.350, 1
1 deg 18 43.400, 1
1 deg 18 43.590, 1
1 deg 18 44.220, 1
1 deg 18 47.400, 1
1 deg 18 48.000, 2
1 deg 18 48.120, 1
1 deg 18 5.115, 1
1 deg 18 5.990, 1
1 deg 18 52.000, 2
1 deg 18 53.680, 1
1 deg 18 54.600, 2
1 deg 18 56.060, 1
1 deg 18 56.400, 1
1 deg 18 57.780, 1
1 deg 18 58.200, 2
1 deg 18 58.800, 1
1 deg 18 6.190, 1
1 deg 18 6.578, 1
1 deg 18 6.770, 1
1 deg 18 7.160, 1
1 deg 18 7.200, 7
1 deg 18 7.563, 1
1 deg 18 7.800, 3
1 deg 18 8.400, 1
1 deg 18 8.438, 2
1 deg 18 9.000, 19
1 deg 18 9.600, 1
1 deg 19 10.200, 1
1 deg 19 10.800, 1
1 deg 19 11.780, 1
1 deg 19 12.210, 1
1 deg 19 13.720, 2
1 deg 19 14.622, 1
1 deg 19 14.718, 1
1 deg 19 15.000, 6
1 deg 19 15.102, 1
1 deg 19 17.100, 1
1 deg 19 17.160, 1
1 deg 19 22.200, 1
1 deg 19 23.400, 1
1 deg 19 27.000, 1
1 deg 19 37.200, 1
1 deg 19 38.000, 1
1 deg 19 4.301, 1
1 deg 19 43.200, 1
1 deg 19 51.000, 1
1 deg 19 52.200, 2
1 deg 19 52.800, 1
1 deg 19 54.000, 2
1 deg 19 54.850, 1
1 deg 19 56.574, 2
1 deg 19 59.230, 1
1 deg 19 59.520, 1
1 deg 19 59.680, 1
1 deg 19 6.600, 2
1 deg 19 8.800, 1
1 deg 19 9.380, 1
1 deg 20 1.070, 1
1 deg 20 1.210, 1
1 deg 20 1.290, 1
1 deg 20 1.920, 1
1 deg 20 10.518, 1
1 deg 20 10.524, 1
1 deg 20 10.842, 1
1 deg 20 10.944, 1
1 deg 20 11.010, 1
1 deg 20 11.400, 1
1 deg 20 12.264, 1
1 deg 20 12.756, 1
1 deg 20 14.670, 1
1 deg 20 15.000, 3
1 deg 20 16.392, 1
1 deg 20 19.980, 1
1 deg 20 2.150, 1
1 deg 20 2.570, 1
1 deg 20 2.960, 1
1 deg 20 20.106, 1
1 deg 20 21.000, 1
1 deg 20 21.600, 1
1 deg 20 23.681, 1
1 deg 20 23.886, 2
1 deg 20 24.018, 1
1 deg 20 24.024, 2
1 deg 20 24.329, 1
1 deg 20 25.120, 1
1 deg 20 27.600, 3
1 deg 20 31.800, 2
