ifdg_GPSDestBearing ,Count
16470/271, 1
164701/485, 1
16477/786, 1
16481/203, 1
16481/420, 1
16481/70, 1
16491/221, 1
16494/109, 1
165112/849, 1
1651507/32768, 1
16519/428, 1
165222/583, 1
16537/241, 1
16540/491, 1
16545/556, 1
16556/283, 1
16579/72, 1
16600/100, 1
166051/792, 1
16609/135, 1
16614/115, 1
166151/529, 1
16619/231, 1
16628/475, 1
16631/308, 1
16633/438, 1
166357/623, 1
166443/1495, 1
16647/91, 1
16650/49, 1
16669/115, 1
16671/155, 1
16678/61, 1
16692/235, 2
16699/226, 1
167104/1545, 1
167135/539, 1
167167/697, 1
16717/181, 1
16721/341, 1
16746/77, 1
16753/63, 1
16757/466, 1
16763/71, 1
167641/6538, 1
167689/670, 1
167805/793, 1
167829/1109, 1
167864/469, 1
16789/131, 1
16790/123, 1
168003/749, 1
16801/284, 1
168084/797, 1
168107/1003, 1
16829/12140, 1
16833/128, 1
16838/159, 1
16852/547, 1
168554/541, 1
16864/373, 1
1687/221, 1
16873/620, 1
16881/62, 1
16883/2734, 1
168909/1535, 1
16892/169, 1
168961/524, 1
16903/258, 1
16910/129, 1
16912/55, 1
16915/123, 1
16915/78, 1
16924/653, 1
16925/124, 1
169297/489, 1
169330/1801, 1
16939/249, 1
169392/481, 1
16961/102, 1
169666/905, 1
16967/221, 1
16974/323, 1
16981/389, 1
169873/663, 1
169899/530, 1
16990/323, 1
169949/618, 1
16996/137, 1
170017/742, 1
17017/592, 1
17023/140, 1
17027/310, 1
170289/619, 1
17039/831, 1
17050/117, 1
17055/518, 1
17057/50, 1
17064/119, 1
17065/359, 1
17071/807, 1
17074/231, 1
17077/187, 1
17087/915, 1
17093/157, 1
17114/193, 1
17119/172, 1
17125/103, 1
171259/551, 1
171290/1039, 1
17130/479, 1
17141/123, 2
17153/89, 1
17155/134, 1
17159/149, 1
17180/189, 1
17185/73, 1
17191/546, 1
171951/872, 1
17197/249, 1
17217/71, 1
17221/486, 2
17227/342, 1
17229/109, 1
172349/602, 1
17243/980, 1
17255/582, 1
172687/652, 1
17278/365, 1
17279/70, 1
17284/167, 1
17291/295, 1
17296/255, 1
17297/57, 1
173009/702, 1
17303/157, 1
17303/192, 1
17303/85, 1
17306/111, 1
17308/173, 1
17313/59, 2
17315/53, 1
17323/451, 2
1732396/8191, 1
17329/59, 1
17335/53, 1
17339/698, 1
17344/353, 1
