ifdg_GPSImgDirection ,Count
10689/160, 1
10689/191, 1
106894/381, 1
1069/20, 1
1069/4, 1
106901/516, 1
10691/461, 1
10691/527, 1
10691/65, 1
10691/774, 1
10691/90, 1
106912/667, 1
106913/404, 1
10692/100, 1
10693/100, 1
10693/353, 1
10694/100, 1
10694/157, 1
10694/353, 1
10695/484, 1
106955/324, 1
10697/42, 1
10697/71, 2
106987/707, 1
10699/80, 1
107/1, 8
107/2, 1
107/4, 1
10700/100, 21
10700/1439, 1
10701/53, 1
107028/2323, 1
10703/52, 1
107035/321, 1
107038/511, 1
10706/267, 1
10706/69, 1
107064/449, 1
10707/683, 1
10708/33, 1
107080/479, 1
107087/613, 1
10709/125, 1
10709/447, 1
107092/395, 1
10710/113, 1
10711/35, 1
10711/516, 1
107127/439, 1
107131/323, 1
107136/637, 1
107137/304, 1
10714/100, 1
10715/1044, 1
10715/106, 1
10715/282, 1
10715/512, 1
10716/100, 1
107168/625, 1
10717/317, 1
107194/519, 1
107197/341, 1
10720/100, 1
10720/277, 1
107203/576, 1
107209/326, 1
10721/122, 2
10721/156, 1
107213/367, 1
107219/325, 1
10723/387, 1
107233/404, 1
107240/593, 2
10725/100, 18
107251/481, 1
107255/352, 1
10727/367, 1
10727/53, 1
107279/591, 1
107281/731, 1
107282/381, 1
107298/551, 1
1073/11, 1
10731/41, 1
107311/448, 1
10732/3001, 1
10733/44, 1
107345/832, 1
107349/841, 1
10735/144, 1
10735/2048, 1
107367/308, 1
1073737/4096, 1
107383/2160, 1
107383/426, 1
107384/1095, 1
10739/267, 1
10741/183, 1
107414/303, 1
107414/851, 1
107417/355, 1
10742/33, 1
10742/57, 1
10742/607, 1
10743/328, 1
107433/629, 1
10744/100, 2
10745/194, 1
10746/100, 2
10746/889, 1
107469/328, 1
10747/356, 1
10749/1535, 1
1075/100, 7
1075/4, 1
10750/100, 15
10751/452, 1
10753/139, 1
10753/63, 1
10753/67, 1
107545/306, 1
107545/607, 1
107557/455, 1
10757/32, 1
107575/461, 1
10758/139, 1
10758/509, 1
10759/256, 1
107595/338, 1
107595/874, 1
107602/383, 1
107618/905, 1
10762/107, 2
10762/141, 1
107624/455, 1
107625/379, 1
107633/811, 1
10764/55, 1
10765/544, 1
107671/416, 1
107679/509, 1
107687/1200, 1
107697/833, 1
107703/413, 1
10771/47, 1
10771/64, 1
10771/83, 2
107717/654, 1
107719/318, 1
10772/31, 1
10772/415, 1
107725/2048, 1
107727/758, 2
107729/481, 1
10773/43, 1
10774/107, 1
10774/47, 1
10774/851, 2
10775/100, 7
10775/1319, 1
10775/69, 1
107751/383, 1
107753/326, 1
107753/626, 1
10777/103, 1
107776/313, 1
107776/3225, 1
107779/404, 1
107780/397, 1
1077805/3276, 1
107781/394, 1
107783/649, 1
10779/44, 1
10780/113, 1
10780/51, 1
107804/627, 1
107809/311, 1
10781/202, 1
10781/43, 1
10782/227, 1
10782/85, 1
10783/140, 1
10784/181, 1
10785/254, 1
10785/52, 1
10787/1170, 1
10787/215, 1
10787/216, 1
107893/304, 1
107893/318, 1
107899/409, 1
10790/179, 1
10790/219, 1
10790/257, 1
10790/421, 1
10791/821, 1
10793/408, 1
10793/73, 1
107930/421, 1
107936/929, 1
10794/211, 1
10794/215, 1
10795/1256, 1
10795/256, 1
10795/78, 1
