ifdg_GPSDateStamp ,Count
2011:09:19, 4
2011:09:20, 11
2011:09:21, 8
2011:09:22, 16
2011:09:23, 10
2011:09:24, 19
2011:09:25, 15
2011:09:26, 1
2011:09:29, 4
2011:09:30, 12
2011:10:01, 54
2011:10:02, 55
2011:10:03, 42
2011:10:04, 17
2011:10:05, 3
2011:10:06, 5
2011:10:07, 13
2011:10:08, 4
2011:10:09, 12
2011:10:10, 8
2011:10:11, 4
2011:10:12, 2
2011:10:13, 12
2011:10:14, 6
2011:10:15, 5
2011:10:16, 57
2011:10:17, 45
2011:10:18, 14
2011:10:19, 4
2011:10:20, 15
2011:10:21, 7
2011:10:22, 10
2011:10:23, 6
2011:10:24, 1
2011:10:25, 8
2011:10:26, 7
2011:10:27, 8
2011:10:28, 4
2011:10:29, 26
2011:10:30, 84
2011:10:31, 8
2011:11:01, 9
2011:11:02, 13
2011:11:03, 3
2011:11:04, 4
2011:11:05, 12
2011:11:06, 8
2011:11:07, 2
2011:11:08, 9
2011:11:09, 10
2011:11:10, 8
2011:11:11, 14
2011:11:12, 46
2011:11:13, 53
2011:11:14, 2
2011:11:15, 5
2011:11:16, 6
2011:11:17, 13
2011:11:18, 17
2011:11:19, 133
2011:11:20, 1
2011:11:21, 15
2011:11:22, 2
2011:11:23, 9
2011:11:24, 9
2011:11:25, 61
2011:11:26, 10
2011:11:27, 4
2011:11:28, 7
2011:11:29, 8
2011:11:30, 15
2011:12:01, 12
2011:12:02, 3
2011:12:03, 5
2011:12:04, 6
2011:12:05, 3
2011:12:06, 1
2011:12:07, 2
2011:12:08, 1
2011:12:09, 1
2011:12:10, 42
2011:12:11, 2
2011:12:13, 4
